,type,registration,operator,country,cat,new_date,new_fatalities
14928,Boeing 727-2L5,5A-DII,Libyan Arab Airlines,Malta,H2,1983-02-20,0
14929,Douglas C-47 (DC-3),FAC-651,Colombian AF,Colombia,A1,1983-02-21,4
14930,Boeing 737-2A1C,PP-SNC,VASP,Brazil,A1,1983-02-22,2
14931,Antonov An-2R,CCCP-84571,"Aeroflot, Ukraine",Ukraine,A1,1983-02-23,0
14932,DHC-6 Twin Otter 300,TY-BBL,Air Benin,Benin,A1,1983-02-24,0
14933,Boeing 727-276,VH-TBI,TAA,Australia,A2,1983-02-27,0
14934,Hawker Siddeley HS-121 Trident 2E,B-260,CAAC,China,A1,1983-02-27,0
14935,Antonov An-24V,LZ-AND,Balkan Bulgarian,Bulgaria,H2,1983-03-07,1
14936,DHC-6 Twin Otter 300,YA-GAZ,Bakhtar Afghan,Afghanistan,A1,1983-03-10,19
14937,NAMC YS-11A-208,JA8693,Nihon Kinkyori Airways,Japan,A1,1983-03-11,0
14938,DC-9-32,YV-67C,AVENSA,Venezuela,A1,1983-03-11,23
14939,Boeing 707-338C,5A-DJO,Jamahiriya Air Transport,Libya,A1,1983-03-14,5
14940,BN-2A-3 Islander,EP-PAC,Pars Air,Unknown country,A1,1983-03-17,6
14941,Douglas C-47E (DC-3),FAP-356,Peruvian AF,Peru,A1,1983-03-18,5
14942,BN-2A-21 Defender,7Q-YAX,Malawi Police Force,Malawi,A1,1983-03-18,6
14943,Antonov An-2V,CCCP-29367,"Aeroflot, Krasnoyarsk",Russia,A1,1983-03-24,0
14944,Boeing 737-2B1,C9-BAB,LAM,Mozambique,A1,1983-03-27,0
14945,Let L-410M,CCCP-67190,"Aeroflot, Georgia",Georgia,A1,1983-03-29,6
14946,DHC-6 Twin Otter 300,5A-DCP,Libyan Ministry of Agriculture,Libya,A1,1983-03-30,0
14947,Learjet 25,N51CA,"Chatham Corp., op.for Hughes Charter Air",USA,A1,1983-03-30,2
14948,DHC-6 Twin Otter 200,N922MA,Metroflight,USA,O1,1983-04-01,0
14949,Cessna 500 Citation I,N700CW,Winn Exploration,USA,A1,1983-04-01,4
14950,Beech 200 Super King Air,F-BVRP,Total,China,A1,1983-04-04,8
14951,BN-2A-26 Islander,HP-945,Aviones de Panama,Panama,U1,1983-04-06,6
